name,teamSize,budget,workload,importance,completionTime
Add Census Job to Website and Social,13,237000,light,7,80
Submit 2020 Census Materials for Translation,24,129000,light,10,15
Updating OPC,18,648000,manageable,1,100
Age of Adeline,11,128000,light,6,85
Aging Out Loud,9,215000,manageable,4,95
Billboard Posters,10,785000,heavy,6,35
Door Hanger,17,114000,heavy,10,95
Design Internal Newsletter for Strat Plan Updates,6,270000,light,5,25
High friction surface treatment coming to Pierce County roads,5,249000,heavy,4,75
Ride Transit Month wrap up,17,688000,light,8,55
"Planning Commission adds fall study sessions, moves final vote on four community plans to November",12,45000,heavy,3,65
Discount tickets to University of Washington football,17,733000,light,10,5
Blog Content Calendar,11,625000,light,10,45
Podcast Episode trial,12,313000,heavy,5,40
Note Cards,16,795000,heavy,10,30
Podcast Launch,24,474000,manageable,1,40
Sales and Use Tax Release?,17,31000,light,2,10
Will James on Narxolene,17,608000,light,9,55
Interview on Broadband,12,345000,light,3,60
E-Newsletter,20,15000,manageable,7,95
E-Newsletter about Local farming,23,995000,heavy,3,40
E-Newsletter Text on Boards and Commissions,4,157000,manageable,2,65
Creative Brief on Budget Series,9,307000,heavy,4,5
Women Leaders Video Series,25,568000,light,1,10
E-Newsletter on Chambers Amphitheater Outreach,22,620000,light,5,50
Vacation E-newsletter,24,86000,light,3,15
Resurfacing work on section of 72nd Street East rescheduled,10,417000,light,2,40
Senior Citizens Day Proclamation,14,953000,light,4,40
Cambodian/Vietnamese Voting in WA Video,9,978000,light,6,50
Drainage District,12,40000,manageable,7,100
Supplemental Budget Release,8,27000,light,6,70
Send media contacts,11,491000,manageable,6,90
Assistance with editing webpage,5,758000,manageable,4,40
Jo Peterson Follow-up Questions,8,304000,heavy,2,20
Lunch with Jo Peterson,9,686000,light,3,55
Sales and Use Tax/Naxolene,6,41000,heavy,5,60
Printed Summer Newsletter,23,123000,light,7,100
Business Card redesign,22,871000,manageable,8,40
SS911 Bond Release,17,301000,manageable,3,65
Updated User Engagement Comm Strategy,6,891000,heavy,3,85
Video on Trail Project,10,983000,light,1,95
E-newsletter on B-25,18,375000,heavy,8,60
E-Newsletter on Amtrak Accident Cause,4,854000,light,7,15
E-Newsletter Broadband,21,401000,manageable,4,70
E-Newsletter on District 6 Month,24,680000,heavy,5,100
E-Newsletter on Foothills Trail Closure,20,19000,manageable,4,90
Strategy,20,211000,heavy,4,45
Strategic Alliance online survey,9,821000,manageable,1,85
ADRC E-News August 2019,4,131000,light,2,20
LTC Meeting Agenda,9,191000,light,9,20
Flag lowering in memory of Retired Associate Justice Stevens,12,760000,light,2,70
FJC Annual BBQ winning raffle tickets,4,544000,light,4,35
Weight Watchers at work,7,94000,light,4,55
Annual property values set by County assessor-treasurer,4,846000,manageable,2,10
Section of 72nd Street East to be reconfigured in late July,16,132000,manageable,2,90
HR4U Logo Design,23,545000,manageable,8,50
Retirement of Cindy McClelland,11,101000,light,1,55
Retirement of So DiaEze,21,688000,light,8,25
Fair Housing AI Survey News Release,10,784000,light,10,10
Allocation Advisory Board Recruitment (Youth Prevention),15,81000,manageable,8,30
TEST,8,641000,heavy,5,65
Pierce County Trails Day,21,568000,heavy,8,40
Retirement of Erin Benedict,10,36000,heavy,3,45
Fees Poster Update,11,313000,manageable,9,25
Backfile Project Chart,14,786000,heavy,5,70
ECEAP animation video,2,599000,manageable,2,15
Internal Letterhead,24,689000,heavy,6,75
Drop Box Moved Sign,21,14000,heavy,1,25
Survey drawing winners,25,107000,light,4,40
Last call to order tickets to the annual BBQ,6,876000,heavy,3,65
Fair Housing Survey,17,837000,manageable,2,95
Pierce Trips July Newsletter,2,824000,manageable,3,80
Expect traffic delays along section of Canyon Road East through fall due to utility work,2,310000,light,9,15
General Election Envelope Designs - 2019,19,892000,manageable,10,50
Work to repair culvert under Whiteman Road Southwest starts July 15,19,482000,heavy,1,40
New Workday Absence worklet coming soon!,2,899000,manageable,2,35
Update PCHS 2019 Summary,5,979000,light,4,5
Election at a glance,2,608000,heavy,1,15
Changes to Washington state’s election laws are now in effect,10,581000,heavy,5,100
Rack Card update,15,190000,light,7,55
Socrata Updates,12,951000,manageable,4,100
August 2019 Primary At-a-Glance,23,170000,manageable,2,80
Turn Voters' Pamphlet into eBook for Website,5,879000,manageable,7,50
POA Feeback Survey Postcards,24,860000,light,8,60
Translated Felony Convictions Card,4,303000,light,9,65
Schedule Fireworks Posts,20,70000,manageable,10,75
Burn Ban Post on Social,20,196000,light,1,60
Pawnbroker/Adult Entertainer Form Updates,21,516000,light,3,10
Pawnbroker/Adult Entertainer Form Updates,20,443000,light,9,90
Small Drop Box Artwork,11,369000,manageable,2,20
Small Drop Box Quote Process,14,325000,manageable,4,30
Passport Checklist/Handout,20,652000,heavy,3,30
Grand Movie Billboards,7,669000,light,2,95
Email change - BTB form,21,405000,heavy,4,75
Update EI&R Banquet webpage,22,979000,heavy,7,20
EI&R Banquet save the date,11,485000,light,2,10
Countywide burn ban in Pierce County begins July 1,9,407000,manageable,4,85
Caregiver Film Event,17,870000,heavy,9,50
ADRC E Newsletter - July 2019,17,639000,heavy,3,75
Ferry runs added for Independence Day and summertime travelers,3,36000,manageable,2,65
Films on Caregiving July 2019,11,832000,heavy,9,95
Aging and LTC group,3,503000,light,8,45
Aging Conference: Save the date,8,815000,heavy,4,55
IT offers Office 365 training courses to increase your expertise,22,230000,light,8,5
Director Annoucement,8,23000,manageable,6,85
Auditor's Office Contact Card,4,868000,manageable,4,65
Add Licensing Staffing Alert to Web,3,266000,manageable,4,5
Shellie Pollitt retirement,11,995000,light,6,45
Bill Simonds retirement,19,794000,heavy,4,80
Internal website updates,18,243000,light,8,85
ECEAP inquiry - update,19,210000,heavy,10,35
Bike Month results,6,539000,manageable,7,15
Voting Rights Poster Updates,11,556000,light,2,75
Add Notice to Licensing Page,6,581000,light,10,70
Free transportation to Taste of Tacoma,10,146000,light,9,65
9th Annual Gig Harbor Wings and Wheels returns July 6-7,12,262000,heavy,7,80
Design Web Banners for Job Posting,3,621000,light,3,10
CJFJC annual barbecue,15,385000,heavy,8,30
Retirement of Carron Boucher,11,118000,light,9,70
Retirement of Lynn Julin,16,272000,light,7,25
Making the Link logo,4,517000,heavy,1,50
Doug Means farewell,18,485000,heavy,8,90
Ballot Transfer Parody Video,14,457000,manageable,7,5
Standing Ovation Award nominations due June 28,11,758000,manageable,3,5
Road project at 62nd Avenue Northwest and 144th Street Northwest intersection continues,13,998000,manageable,3,45
Edit Division of Sustainability Blog Post,10,633000,manageable,2,20
Ferry Loading Guidelines,19,683000,light,10,30
Chronic Nuisance Talking Points,14,707000,heavy,3,40
Broadband study Release,22,884000,heavy,9,35
Council wayfinding signage,5,272000,manageable,7,45
Update committee assignments,10,703000,light,4,40
EXEC COMMENDATION: Paul Marsh,16,11000,manageable,6,90
EXEC COMMENDATION: Steven Wixom,23,219000,manageable,1,60
EXEC COMMENDATION: Bob Alires,11,836000,light,2,40
EXEC COMMENDATION: Matt Millie,3,921000,heavy,9,65
EXEC COMMENDATION: Paul Burg,11,630000,manageable,4,20
Department of Retirement Rate increases,23,400000,light,10,60
EDB Quotes,18,490000,manageable,4,100
Wellfound Hospital remarks,9,698000,heavy,9,5
Strategic Alliance FAQ,16,648000,light,2,55
STW orientation flyer,19,606000,manageable,3,95
FCSP ads - elections,4,70000,heavy,8,40
Summer 2019 Newsletter,11,775000,manageable,2,45
Ombudsman social media recruitment,20,295000,light,10,45
Table Toppers (2),20,523000,manageable,2,20
"Change ""When a Loved One Dies"" Brochure Photo",24,298000,heavy,3,40
Planning Commission to consider proposed updates to four community plans,6,948000,manageable,10,50
New Cushman Trail segment to be built along 14th Avenue Northwest,24,677000,manageable,10,40
Gig Harbor Trolley email,7,314000,manageable,8,25
ADRC bags,3,899000,manageable,8,80
Fiverrr videos,21,935000,manageable,2,75
Sewer Inserts,7,508000,heavy,10,70
Bus and Shelter Ads,2,806000,manageable,10,10
GIS Theme Icons,4,495000,heavy,6,25
Human Resources move,4,622000,manageable,1,30
Design Outreach Displays,25,468000,light,1,75
Bus Shelter Ads,23,414000,heavy,4,85
SAGE table flyer,4,878000,manageable,9,60
Intelligent Lives - event,7,79000,light,7,65
Films on Caregiving - Intelligent Lives,25,280000,manageable,6,65
2020-21 Biennial budget cover,4,174000,manageable,1,30
Open Pierce County PowerPoint Template,4,112000,heavy,8,55
2020 Census Banners,7,707000,heavy,3,85
Powerful Tools for Caregivers - Facebook,10,298000,manageable,6,70
Powerful Tools for Caregivers,17,506000,heavy,4,50
Recording Fee Increases,20,421000,manageable,5,10
Update Forms,20,230000,light,6,65
Boards & Commissions Website Updates,15,141000,light,10,70
Printed/Cut Postcards,2,846000,heavy,3,35
LTC Providers Meeting,11,825000,manageable,5,100
ADRC E-News June 2019,17,17000,heavy,10,80
ADRC FCSP bags,6,347000,light,2,95
ECEAP updates,4,35000,manageable,7,55
Changes to administrative guidelines,20,643000,manageable,1,30
Passing of Dawn Brekke,19,244000,light,3,45
Take the Pledge to Ride Transit in June,18,618000,manageable,4,75
Give your office a break this holiday weekend,25,438000,light,1,85
Gerald Hammond retirement,5,898000,manageable,9,95
Updated Business Cards,23,275000,heavy,3,70
B-25 board,2,601000,light,3,85
Ice bumper cars grand opening,17,166000,manageable,7,15
911 Addressing Project - Data Restoration,18,69000,manageable,2,35
Area plan update - final,16,367000,manageable,3,35
Area plan summary,24,691000,light,2,75
Flyer for Area Plan Update Survey,9,86000,manageable,5,65
Area Plan update ADR,16,29000,manageable,6,100
Area Plan Survey,2,174000,light,3,85
5 year research - APPR grant,11,221000,light,3,35
Bay Lake beavers - Key Pen News,8,438000,manageable,6,80
IT systems back online,16,803000,manageable,10,15
Mitch Nelson retirement,2,875000,heavy,8,25
Additional Pierce County Ferry runs offered Memorial Day weekend,25,160000,heavy,3,100
CCB fire alarm testing,4,479000,light,10,60
Pierce County Law Library to open kiosk at Lakewood Library,14,419000,light,7,100
Illegal dumping/KIRO inquiry,10,510000,heavy,6,70
2019 Employee Engagement Survey reminder,9,938000,manageable,10,50
Lobby Wayfinding,5,813000,manageable,6,75
Rebrand All TV Screen Slides,23,584000,manageable,10,95
Design New Elections Apparel,16,604000,heavy,1,55
SWAG Reorder/New SWAG,3,944000,heavy,2,90
Active Volcano Website,6,239000,heavy,1,5
"Parks, Recreation and Open Space Plan",13,900000,manageable,3,55
Retrieval of Data for Public Record,9,320000,light,5,100
Birth to 25 Advisory Commission,5,459000,light,7,80
Unified Radio System Logo,18,648000,heavy,7,20
Job Recruitment for Facilities Deputy Director,5,496000,manageable,7,40
Adobe Spark for Economic Development Newsletter,12,40000,light,6,95
Volcano Hazard Video,5,633000,manageable,8,80
Finance Website Updates,3,247000,light,6,20
Employee Assistance Banner Design,19,668000,manageable,5,90
Employee Feedback Survey Support,20,819000,light,5,75
Community Plan Open Houses Analytic Reports,20,431000,light,8,75
Sprinker Calendar System,12,404000,heavy,3,50
Sewer Billing Replacement Support,15,317000,light,4,80
Internship Program Rack Card,25,969000,heavy,1,30
Retirement Announcement for Julie Williams,20,740000,heavy,10,30
Job Recruitment Flyer - Director of Human Services,10,687000,heavy,1,25
Headshots,7,986000,manageable,1,35
Want Ads Replacement,20,114000,manageable,4,60
SurveyGizmo Transition,24,901000,heavy,4,35
Ferry Tracker and Data Portal,20,586000,light,1,10
Prezi Design,25,264000,heavy,6,80
Redesign District Court Web,5,288000,light,10,10
Superior Court Judge Photos,20,214000,heavy,2,5
Job Announcement Flyer,23,330000,manageable,10,85
Kiwanis speech,11,400000,heavy,8,30
Job Recruitment Flyer,12,901000,light,4,95
Caregiver Holiday Ad,23,261000,light,7,65
DEI Monthly Report Form,14,187000,heavy,4,45
SOTC Invite and Communication Materials,20,873000,light,7,75
LUACS Update,8,579000,heavy,4,5
Winter Storm County Closures,7,557000,heavy,2,15
Invest Pierce County Assistance,6,270000,manageable,8,35
Certificates for PIT Volunteers,2,304000,light,4,25
Website Court History Project,2,687000,light,6,50
Fire Prevention Website Redesign,23,977000,light,2,5
ADRC Rack Cards,19,573000,manageable,10,40
Total Comp Website,9,517000,heavy,7,45
Facebook Website Redirects,6,573000,manageable,4,5
Public Works Org Chart - Large Format,10,86000,heavy,8,100
Judge Foley Retirement,25,241000,light,8,80
Photoboard and HR Mailbox for PA's Office,22,747000,heavy,7,65
Combined Communications Network Board Photo,24,384000,light,3,95
FCZD Update,2,802000,light,9,90
Janine Cavalier Retirement,13,934000,light,2,60
CCB Nollmeyer Security Enhancements,7,630000,manageable,8,50
Board of Equalization Update,17,880000,light,8,60
Pierce County Connect 311 CRM Tool,10,44000,light,9,10
Email Address Request,22,714000,heavy,10,70
Boards and Commissions Portal,22,438000,manageable,1,15
Open Pierce County Presentation to Socrata,16,136000,heavy,7,85
Presentation for Resource Conservation Summit,25,433000,manageable,8,95
Superior Court Annual Report Template,13,29000,light,5,95
Retirement of Patty Brown,20,518000,light,5,10
Alan Kies retirement,16,580000,heavy,10,5
LinkedIn Learning message #4,2,543000,heavy,8,60
Retirement of Diane Ladenburg,22,613000,light,3,55
Retirement of Vicki Gibson,15,561000,heavy,5,20
Executive Team bio,16,788000,light,9,85
Evaluate Nightline filming request,22,26000,manageable,8,50
Market the Arts presentation,16,644000,light,5,20
Milroy Street Bridge,20,891000,manageable,5,15
Community Plans,21,574000,light,8,85
Chambers Bay re-opens,4,792000,manageable,8,45
Blog,10,987000,manageable,2,20
InvestPierceCounty,21,655000,light,3,10
DEI,5,627000,heavy,7,35
Jail as a homeless shelter?,9,756000,manageable,5,50
Judge Christopher swearing in,20,161000,heavy,6,70
Puyallup Sumner Chamber Econ Forecast,7,419000,heavy,8,70
South Sound Together remarks,5,485000,heavy,6,35
Boyle v Puyallup,23,541000,manageable,4,75
Jody Fergson,17,825000,heavy,9,65
Port of Tacoma Lifetime Achievement,12,700000,light,6,5
Asia Pacific New Year Celebration remarks,24,500000,manageable,2,75
Opioid Summit remarks,22,280000,heavy,2,85
SOTC invitations - list and distribution,10,254000,light,1,20
Washington HS STEM Open House remarks,9,995000,manageable,2,50
Groundbreaking for CRC,21,768000,manageable,7,85
Bike month reminder,16,85000,manageable,10,100
"""The Dirt"" Ad - Tacoma Rainiers",25,112000,manageable,10,15
DD bags,8,743000,heavy,9,20
Employee Day at Emerald Downs,6,89000,heavy,10,40
Annual CJFJC BBQ,13,560000,light,10,30
Updated media policy,18,495000,heavy,1,100
King Pierce Farm Bureau,3,944000,heavy,6,55
Volunteer Recognition remarks,5,522000,light,8,15
Chambers Bay Fact Sheet,20,856000,manageable,5,55
Executive vlog - Property Room,2,52000,manageable,7,95
Medical Examiner,13,719000,heavy,7,60
2020 Census,4,32000,light,3,50
Branding,24,829000,heavy,1,85
Workforce JobFest remarks,8,565000,heavy,1,25
Council Committee Priorities Brochure Design,24,491000,manageable,2,20
Edit Annual Report - round 2,6,425000,heavy,10,10
Edit Annual Report - round 1,17,643000,light,10,15
Social Planning,24,917000,manageable,5,35
Social Planning,25,412000,manageable,2,95
Social Planning,3,488000,heavy,2,15
Social Planning,18,637000,light,9,50
Prayer Breakfast remarks,25,703000,heavy,2,80
Social Planning,5,413000,light,4,45
Social Planning,8,307000,manageable,3,100
Gig Harbor Super Business Group,19,781000,manageable,3,30
Educational Forum remarks,24,483000,manageable,6,100
Analytics for Q1,21,103000,light,10,10
Key Pen Business Group speech,20,603000,heavy,3,25
Youngest Citizens remarks,9,679000,heavy,3,80
BCRA speech,17,619000,heavy,3,10
Executive vlog - Remann Hall,2,247000,heavy,1,50
DEI video,13,526000,heavy,2,75
Landlord Appreciation Video,2,374000,manageable,4,100
Reactive media statement,9,19000,heavy,5,75
Speech to Parkland Spanaway Kiwanis,6,551000,light,4,5
PRIA Local Materials,10,798000,light,3,95
Proclamation Photo,9,510000,heavy,2,100
Respect for What we Do blog post,4,408000,heavy,2,15
Post Vacant Performance Audit Position,22,587000,heavy,9,95
May ENewsletter,5,307000,manageable,9,95
Chambers Bay Vote E-Newsletter,23,39000,heavy,7,80
E-Newsletter,11,415000,manageable,2,80
Department of Health Series,10,162000,light,3,20
Column in the Gateway Pitch,17,269000,manageable,6,55
Market the Arts presentation,22,702000,heavy,3,35
SOTC livestreaming,9,136000,light,10,100
Logistics,5,777000,manageable,2,35
SOTC 2019 speech,4,665000,light,3,75
Fish Culvert advocacy,23,739000,manageable,3,65
May 17 blog,11,256000,light,1,45
May 10 blog,21,237000,manageable,8,60
May 3 blog,4,33000,heavy,6,75
Apr 26 blog,11,862000,light,8,25
Apr 19 blog,17,537000,manageable,9,40
Apr 12 blog,24,852000,heavy,4,55
Apr 5 blog,11,478000,manageable,5,35
Mar 29 blog,19,215000,manageable,10,40
Mar 22 blog,11,78000,light,4,45
Mar 15 blog,7,155000,heavy,5,50
Mar 8 blog,4,205000,manageable,3,35
Mar 1 blog,23,185000,heavy,9,70
Feb 22 blog,15,368000,manageable,1,50
Feb 15 blog,11,133000,heavy,5,10
Feb 8 blog,22,198000,light,6,90
Feb 1 blog,4,655000,manageable,7,90
Jan 25 blog,14,37000,manageable,6,5
Jan 18 blog,7,394000,manageable,6,30
Jan 11 Blog,19,652000,light,1,5
Jan 4 blog,18,174000,heavy,8,40
Auditor seeks to appoint committee members for voters’ pamphlet,2,415000,light,4,90
Facility Finder Map Application,2,275000,light,9,80
Pierce County ALERT billboard,18,328000,light,9,75
Swearing in for Tacoma Judge Dwayne Christopher.,21,679000,manageable,8,75
Digital Government Experience Award Submission,7,619000,light,2,65
Site Improve Implementation,22,258000,manageable,10,50
Juvenile Court Referral Form,15,988000,heavy,7,30
Juvenile Court Equity Team,16,673000,light,6,95
Pierce County Pets Migration to new Site,17,200000,light,1,80
Online Point in Time Count Survey,7,627000,manageable,9,15
Ferry Website Redesign,16,826000,heavy,3,35
Sheriff's Annual Report,3,918000,manageable,10,40
Tier 2 Department Dashboard,14,466000,heavy,4,40
Executive Department Outreach Material/SWAG,9,179000,heavy,8,60
Update Budget Website,19,610000,heavy,8,25
Superior Court Annual Report,19,84000,manageable,9,20
Update website with new prosecutor information,16,563000,manageable,10,15
Extra-Hire job opportunity with Parks and Recreation,14,701000,manageable,5,15
AITF results report,8,429000,manageable,4,70
2020 Retirement Connections Advertisement,16,299000,manageable,9,60
Peanut Butter Drive Flyer,12,464000,heavy,3,5
Forms,16,901000,manageable,9,25
Older Americans Month - social media,8,97000,manageable,6,20
Community Action Month - social media,5,880000,manageable,1,40
Intranet updates,22,71000,light,6,25
FCSP ads - testing,11,951000,manageable,7,15
Chambers Bay Resort Post to All news,7,781000,manageable,5,40
May - Poster,16,811000,manageable,9,75
FCSP advertising,5,251000,heavy,6,65
Ads - testing,25,77000,light,7,65
Flyer for Recruitment Efforts,10,793000,manageable,9,75
1/2 sheet portrait,9,528000,manageable,4,45
Retirement of Rod Lasher,14,392000,manageable,8,5
Edits to ACAC page,2,625000,heavy,7,95
UPDATE: Water being tested for discoloration on CCB campus,5,480000,manageable,5,15
WWE Stomping Grounds discount,23,701000,manageable,8,70
Water being tested for discoloration on CCB campus,13,342000,manageable,1,75
Point of Assistance Training Material Graphics,23,333000,heavy,1,100
2019 Employee Engagement Survey,25,637000,heavy,10,15
When a Loved One Dies Brochure - Edits and Prints,22,129000,heavy,2,10
Vacation carryover policy reminder,4,821000,heavy,9,25
Translated Magnets for Drop,16,144000,heavy,8,15
Update ODT webpage,3,762000,light,4,20
Create Clallam County version of Point of Assistance Logo,5,510000,light,6,60
